District Code,District Name English,District Name Tamil,Collector Office,Agriculture Office,Major Crops,Average Rainfall (mm),Soil Types,Climate Zone
"TN-ARI","Ariyalur","அரியலூர்","Collectorate, Jayankondam Road, Ariyalur - 621704","JDA Office, Mini Civil Station, Ariyalur","Paddy, Cashew, Sugarcane, Groundnut","954","Red Loam, Clay Soil, Black Soil","North Eastern Agro-Climatic Zone"
"TN-CGL","Chengalpattu","செங்கல்பட்டு","Collectorate, GST Road, Chengalpattu - 603001","JDA Office, GST Road, Chengalpattu","Paddy, Groundnut, Watermelon, Vegetables","1200","Alluvial, Sandy Clay, Red Soil","North Eastern Agro-Climatic Zone"
"TN-CHE","Chennai","சென்னை","Collectorate, Rajaji Salai, Chennai - 600001","Directorate of Agri Marketing, Guindy, Chennai","Urban Horticulture, Micro-Greens","1400","Coastal Alluvium","Coastal Agro-Climatic Zone"
"TN-CBE","Coimbatore","கோயம்புத்தூர்","Collectorate, State Bank Road, Coimbatore - 641018","JDA Office, TNAU Campus, Coimbatore","Coconut, Cotton, Banana, Vegetables, Turmeric","650","Red Loam, Black Cotton Soil","Western Agro-Climatic Zone"
"TN-CUD","Cuddalore","கடலூர்","Collectorate, Beach Road, Cuddalore - 607001","JDA Office, Semmandalam, Cuddalore","Paddy, Cashew, Sugarcane, Jackfruit","1210","Coastal Alluvium, Red Sandy Loam","North Eastern Agro-Climatic Zone"
"TN-DPI","Dharmapuri","தர்மபுரி","Collectorate, Nethaji Bypass Road, Dharmapuri - 636705","JDA Office, Collectorate Complex, Dharmapuri","Mango, Tomato, Ragi, Pulses, Flowers","895","Red Soil, Black Soil","North Western Agro-Climatic Zone"
"TN-DGL","Dindigul","திண்டுக்கல்","Collectorate, Velunatchiyar Campus, Dindigul - 624004","JDA Office, Collectorate Annexe, Dindigul","Onion, Garlic, Banana, Maize, Flowers","830","Red Loam, Black Soil","Southern Agro-Climatic Zone"
"TN-ERD","Erode","ஈரோடு","Collectorate, Brough Road, Erode - 638011","JDA Office, Sampath Nagar, Erode","Turmeric, Sugarcane, Paddy, Banana, Coconut","710","Red Soil, Black Cotton Soil","Western Agro-Climatic Zone"
"TN-KLK","Kallakurichi","கள்ளக்குறிச்சி","Collectorate, Kachirayapalayam Road, Kallakurichi - 606202","JDA Office, District Collectorate, Kallakurichi","Sugarcane, Paddy, Maize, Groundnut, Tapioca","1070","Red Loam, Clay Soil","North Eastern Agro-Climatic Zone"
"TN-KCP","Kancheepuram","காஞ்சிபுரம்","Collectorate, Vandavasi Road, Kancheepuram - 631501","JDA Office, Collectorate Campus, Kancheepuram","Paddy, Sugarcane, Groundnut, Brinjal","1205","Clay Loam, Alluvial","North Eastern Agro-Climatic Zone"
"TN-KKI","Kanniyakumari","கன்யாகுமரி","Collectorate, Nagercoil - 629001","JDA Office, Collectorate Complex, Nagercoil","Rubber, Banana, Coconut, Paddy, Tapioca","1465","Laterite, Red Loam, Coastal Sand","High Rainfall Agro-Climatic Zone"
"TN-KRR","Karur","கரூர்","Collectorate, Thanthonimalai, Karur - 639007","JDA Office, Thanthonimalai, Karur","Banana, Moringa, Paddy, Sugarcane, Groundnut","655","Red Soil, Alluvial Soil","Southern Agro-Climatic Zone"
"TN-KGI","Krishnagiri","கிருஷ்ணகிரி","Collectorate, Rayakottah Road, Krishnagiri - 635115","JDA Office, Collectorate Complex, Krishnagiri","Mango, Tomato, Flowers, Ragi, Coconut","840","Red Loam, Black Soil","North Western Agro-Climatic Zone"
"TN-MDU","Madurai","மதுரை","Collectorate, KK Nagar Road, Madurai - 625020","JDA Office, Tallakulam, Madurai","Jasmine, Paddy, Cotton, Sugarcane, Pulses","850","Red Soil, Black Soil","Southern Agro-Climatic Zone"
"TN-MAY","Mayiladuthurai","மயிலாடுதுறை","Collectorate, Collectorate Campus, Mayiladuthurai - 609001","JDA Office, Court Complex Road, Mayiladuthurai","Paddy, Pulses, Coconut, Groundnut","1350","Deltaic Alluvium, Coastal Clay","Cauvery Delta Agro-Climatic Zone"
"TN-NGP","Nagapattinam","நாகப்பட்டினம்","Collectorate, Public Office Road, Nagapattinam - 611001","JDA Office, Collectorate Campus, Nagapattinam","Paddy, Pulses, Groundnut, Cotton","1340","Coastal Alluvium, Clay Soil","Cauvery Delta Agro-Climatic Zone"
"TN-NMK","Namakkal","நாமக்கல்","Collectorate, Mohanur Road, Namakkal - 637003","JDA Office, Collectorate Campus, Namakkal","Poultry Feed (Maize), Tapioca, Turmeric, Groundnut","780","Red Soil, Gravelly Soil","North Western Agro-Climatic Zone"
"TN-NLG","TheNilgiris","நீலகிரி","Collectorate, Finger Post, Udhagamandalam - 643001","JDA Office, Vijayanagaram, Ooty","Potato, Tea, Carrot, Cabbage, Exotic Vegetables","1920","Laterite, Peaty Soil","Hilly Agro-Climatic Zone"
"TN-PER","Perambalur","பெரம்பலூர்","Collectorate, Trichy Main Road, Perambalur - 621212","JDA Office, Collectorate Annexe, Perambalur","Small Onion (Shallot), Cotton, Maize, Sugarcane","860","Black Soil, Red Soil","Central Agro-Climatic Zone"
"TN-PDK","Pudukkottai","புதுக்கோட்டை","Collectorate, Collectorate Campus, Pudukkottai - 622005","JDA Office, Kalyanaramapuram, Pudukkottai","Paddy, Groundnut, Cashew, Coconut, Sugarcane","920","Red Sandy Soil, Coastal Alluvium","Southern Agro-Climatic Zone"
"TN-RMD","Ramanathapuram","இராமநாதபுரம்","Collectorate, Collectorate Complex, Ramanathapuram - 623503","JDA Office, Collectorate Campus, Ramanathapuram","Chilli (Mundu Chilli), Paddy, Cotton, Coconut","825","Saline Coastal Soil, Sandy Soil","Southern Agro-Climatic Zone"
"TN-RPT","Ranipet","ராணிப்பேட்டை","Collectorate, Ranipet - 632401","JDA Office, Master Plan Complex, Ranipet","Paddy, Sugarcane, Groundnut, Banana","1040","Clay Loam, Red Soil","North Eastern Agro-Climatic Zone"
"TN-SLM","Salem","சேலம்","Collectorate, Collectorate Campus, Salem - 636001","JDA Office, Hasthampatti, Salem","Mango, Tapioca, Tomato, Turmeric, Coffee","990","Red Loam, Black Soil","North Western Agro-Climatic Zone"
"TN-SVG","Sivagangai","சிவகங்கை","Collectorate, Maruthupandiyar Nagar, Sivagangai - 630562","JDA Office, Collectorate Complex, Sivagangai","Paddy, Groundnut, Sugarcane, Pulses","900","Red Soil, Laterite Soil","Southern Agro-Climatic Zone"
"TN-TKS","Tenkasi","தென்காசி","Collectorate, Tenkasi - 627811","JDA Office, District Collectorate, Tenkasi","Paddy, Banana, Lemon, Spices, Sugarcane","1100","Red Loam, Alluvial Soil","Southern Agro-Climatic Zone"
