Commodity ID,English Name,Tamil Name,Scientific Name,Category,Subcategory,Typical Unit,Season
"TN-COM-TOM","Tomato","தக்காளி","Solanum lycopersicum","Vegetables","Solanaceous","₹/Quintal","Year-Round"
"TN-COM-ONI","Onion","வெங்காயம்","Allium cepa","Vegetables","Bulb","₹/Quintal","Rabi"
"TN-COM-POT","Potato","உருளைக்கிழங்கு","Solanum tuberosum","Vegetables","Tuber","₹/Quintal","Rabi"
"TN-COM-BRI","Brinjal","கத்தரிக்காய்","Solanum melongena","Vegetables","Solanaceous","₹/Quintal","Year-Round"
"TN-COM-CHL","Chilli","மிளகாய்","Capsicum annuum","Spices & Condiments","Spice","₹/Quintal","Kharif"
"TN-COM-BHE","Bhendi (Okra)","வெண்டைக்காய்","Abelmoschus esculentus","Vegetables","Fruit Vegetable","₹/Quintal","Year-Round"
"TN-COM-DRM","Drumstick (Moringa)","முருங்கைக்காய்","Moringa oleifera","Vegetables","Perennial","₹/Quintal","Year-Round"
"TN-COM-BAN","Banana","வாழைப்பழம்","Musa acuminata","Fruits","Tropical Fruit","₹/Quintal","Year-Round"
"TN-COM-COC","Coconut","தேங்காய்","Cocos nucifera","Oilseeds","Palm","₹/Thousand Nuts","Year-Round"
"TN-COM-GND","Groundnut","நிலக்கடலை","Arachis hypogaea","Oilseeds","Legume Oilseed","₹/Quintal","Kharif"
"TN-COM-TUR","Turmeric","மஞ்சள்","Curcuma longa","Spices & Condiments","Rhizome Spice","₹/Quintal","Rabi"
"TN-COM-SUG","Sugarcane","கரும்பு","Saccharum officinarum","Commercial Crops","Sugar Crop","₹/Ton","Year-Round"
"TN-COM-PAD","Paddy (Rice)","நெல்","Oryza sativa","Cereals & Pulses","Cereal Grain","₹/Quintal","Kharif"
"TN-COM-COT","Cotton","பருத்தி","Gossypium hirsutum","Commercial Crops","Fiber Crop","₹/Quintal","Kharif"
"TN-COM-MAN","Mango","மாம்பழம்","Mangifera indica","Fruits","Tree Fruit","₹/Quintal","Zaid"
"TN-COM-JAS","Jasmine (Mullai)","மல்லிகை","Jasminum sambac","Flowers","Commercial Flower","₹/Kg","Year-Round"
